;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
11164;4505734-2;DB-Brücke, Kleve ./. Moers;Moers;1,8;335752,0;5707367,0;*O:;A;42
11165;4505734-3;DB-Brücke, Kleve ./. Moers;Moers;2,2;335752,0;5707367,0;*O:;A;42
11166;4505735-2;"""verlegte"" Römerstraße";Moers-Repelen;1,8;335813,0;5707354,0;*O:;A;42
11167;4505735-3;"""verlegte"" Römerstraße";Moers-Repelen;1,9;335813,0;5707354,0;*O:;A;42
11168;4505736-1;Forstweg;Duisburg-Baerl;1,8;336197,0;5707256,0;*O:;A;42
11169;4505736-2;Forstweg;Duisburg-Baerl;1,8;336197,0;5707256,0;*O:;A;42
11170;4505740-2;Jakob-Schroer-Straße;Baerl;1,6;337879,0;5706224,0;*O:;A;42
11171;4505740-3;Jakob-Schroer-Straße;Baerl;2,0;337879,0;5706224,0;*O:;A;42
11172;4506450-1;Karl-Lehr-Straße mit LSW West/Überbau Ost, FR Wesel;Duisburg;2,0;344990,0;5698936,0;*O:;A;59
11173;4506450-2;Karl-Lehr-Straße mit LSW West/Überbau West, FR Düsseldorf;Duisburg;1,8;344990,0;5698936,0;*O:;A;59
11174;4506504-0;A3/AK DU-Kaiserberg (Bauwerk III a)/AK DU-Kaiserberg (Bauwerk III a);Duisburg;2,7;347395,0;5701214,0;*O:;A;3
11175;4506505-0;A3/AK DU-Kaiserberg (Bauwerk IVa)/AK DU-Kaiserberg (Bauwerk IVa);Duisburg;2,7;347490,0;5701180,0;*O:;A;3
11176;4506506-0;AK DU-Kaiserberg (Bauwerk VIII);Duisburg;2,7;347503,0;5701101,0;*O:;A;3
11177;4506507-1;AK DU-Kaiserberg (Bauwerk I)/AK DU-Kaiserberg (Bauwerk I), ÜBB Ost;Duisburg Knoten Kaiserberg;2,8;347510,0;5700990,0;*O:;A;3
11178;4506507-2;AK DU-Kaiserberg (Bauwerk I)/AK DU-Kaiserberg (Bauwerk I), ÜBB West;Duisburg Knoten Kaiserberg;2,8;347504,0;5701000,0;*O:;A;3
11179;4506515-0;AK DU-Kaiserberg (Bauwerk VII);Duisburg-Kaiserberg;2,0;347605,0;5701332,0;*O:;A;3
11180;4506517-0;AK DU-Kaiserberg (Bauwerk V);Duisburg;2,7;347502,0;5701257,0;*O:;A;3
11181;4506518-0;AK DU-Kaiserberg (Bauwerk VI);Duisburg;2,3;347517,0;5701365,0;*O:;A;3
